insect_name,disease_name,weed_name
ハバチ類(若～中齢幼虫),,
ハマキガ類,,
ハマキムシ類,,
ハムシ類,,
ハモグリバエ,,
ハモグリバエ類,,
ハラアカコブカミキリ,,
バラシロカイガラムシ,,
ハリガネムシ,,
ハリガネムシ類,,
ハンエンカタカイガラムシ類,,
バンジロウツノエグリヒメハマキ,,
ヒシモンヨコバイ,,
ヒシモンヨコバイ幼虫,,
ヒノキカワモグリガ,,
ヒメエグリバ,,
ヒメクロユスリカ,,
ヒメコシンクイ,,
ヒメコスカシバ,,
ヒメシロコブゾウムシ,,
ヒメシロモンドクガ,,
ヒメゾウムシ成虫,,
ヒメダイコンバエ,,
ヒメトビウンカ,,
ヒメトビウンカ幼虫,,
ヒメフタテンヨコバイ,,
ヒメボクトウ,,
ヒメリンゴマイマイ,,
ヒョウタンゾウムシ類,,
ヒラズハナアザミウマ,,
ヒラタカタカイガラムシ,,
ヒラタカタカイガラムシ類,,
ヒラタコクヌストモドキ,,
ヒルガオハモグリガ,,
ヒロヘリアオイラガ,,
ビワキジラミ,,
ビワサビダニ,,
フキアブラムシ,,
フキノズイバエ,,
フキノメイガ,,
フジコナカイガラムシ,,
フタオビコヤガ,,
フタスジヒメハムシ,,
フタテンヒメヨコバイ,,
フタテンヒメヨコバイ幼虫,,
フタテンミドリヒメヨコバイ,,
フタモンマダラメイガ,,
ブドウサビダニ,,
ブドウスカシバ,,
ブドウトラカミキリ,,
ブドウトリバ,,
ブドウネアブラムシ,,
ブドウハモグリダニ,,
ブドウヒメハダニ,,
ブナハバチ,,
フラーバラゾウムシ,,
プラタナスグンバイ,,
ブルーベリータマバエ,,
ベニフキノメイガ,,
ベニフキノメイガ(えごま(葉)),,
ベニモンアオリンガ,,
ベニモンノメイガ,,
ヘリグロテントウノミハムシ,,
ヘリグロテントウノミハムシ(ひいらぎもくせい),,
ホウオウボククチバ,,
ホウキギツツミノガ,,
ホウレンソウケナガコナダニ,,
ホオズキカメムシ,,
ホコリダニ類,,
ホソオビツチイロノメイガ,,
ホモノハダニ,,
マイマイガ,,
マイマイガ(食用ほおのき(葉)),,
マイマイガ幼虫,,
マエアカスカシノメイガ,,
マスダクロホシタマムシ,,
マダラカサハラハムシ,,
マダラミズメイガ,,
マツカレハ,,
マツカレハ若齢幼虫,,
マツキボシゾウムシ,,
マツノザイセンチュウ,,
マツノマダラカミキリ,,
マツノマダラカミキリ(材内生息虫),,
マツノマダラカミキリ幼虫,,
マツノマダラカミキリ成虫,,
マツバノタマバエ,,
マデイラコナカイガラムシ,,
マメアブラムシ,,
マメコガネ,,
マメシンクイガ,,
マメノメイガ,,
マメハモグリバエ,,
マメハンミョウ,,
マメヒメサヤムシ,,
マメヒメサヤムシガ,,
マメホソクチゾウムシ,,
マルカイガラムシ類,,
マンゴーハフクレタマバエ,,
ミカンキイロアザミウマ,,
ミカンキイロアザミウマ(ばら),,
ミカンキジラミ,,
ミカンコナカイガラムシ,,
ミカンコナジラミ,,
ミカンコミバエ,,
ミカンサビダニ,,
ミカンツボミタマバエ,,
ミカントゲコナジラミ,,
ミカントゲコナジラミ若齢幼虫,,
ミカンナガタマムシ,,
ミカンネコナカイガラムシ,,
ミカンバエ,,
ミカンバエ幼虫,,
ミカンバエ成虫,,
ミカンハダニ,,
ミカンハモグリガ,,
ミカンワタコナジラミ,,
ミズキカタカイガラムシ,,
ミスジツマキリエダシャク,,
ミダレカクモンハマキ,,
ミドリヒメヨコバイ,,
ミナミキイロアザミウマ,,
ミナミキイロアザミウマ、オンシツコナジラミ、モモアカアブラムシ、ワタアブラムシ、コナガ、カンザワハダニ、ナミハダニ、コナカイガラムシ等,,
ミノウスバ,,
ミノウスバ(まさき),,
ミノガ類,,
ミノガ類若齢幼虫,,
ミバエ類,,
ミバエ類、クリシギゾウムシ、モモノゴマダラメイガ、コナガ、タバコガ、コクヌストモドキ、クローバータネコバチ等,,
ミミズ糞塚形成阻害,,
ムギアカタマバエ,,
ムギキモグリバエ,,
ムギクビレアブラムシ,,
ムギクロハモグリバエ,,
ムギダニ,,
ムツスジアシナガゾウムシ,,
ムラサキアツバ,,
メイチュウ類,,
モッコクハマキ,,
モミジニタイケアブラムシ,,
モモアカアブラムシ,,
モモサビダニ,,
モモシンクイガ,,
モモチョッキリゾウムシ,,
モモノゴマダラノメイガ,,
モモハモグリガ,,
モモヒメヨコバイ,,
モロコシネグサレセンチュウ,,
モンアシブトゾウムシ,,
モンキクロノメイガ,,
モンクロシャチホコ,,
モンシロドクガ,,
ヤギシロトビムシ,,
ヤサイゾウムシ,,
ヤシオオオサゾウムシ,,
ヤシオオオサゾウムシ成虫,,
ヤナギコハモグリ,,
ヤノネカイガラムシ,,
ヤノネカイガラムシ、その他のカイガラムシ,,
ヤノネカイガラムシ、その他のカイガラムシ類,,
ヤノネカイガラムシ幼虫,,
ヤノネカイガラムシ幼虫、その他のカイガラムシ類,,
ヤノネカイガラムシ若齢幼虫,,
ヤマダカレハ,,
ヤマトシロアリ,,
ヤマノイモコガ,,
ユウマダラエダシャク,,
ユキヤナギアブラムシ,,
ユスリカ類,,
ユリミミズ,,
ヨコバイ類,,
ヨツモンカメノコハムシ,,
ヨトウガ,,
ヨトウムシ,,
ヨトウムシ類,,
ヨメナスジハモグリバエ,,
ヨモギエダシャク,,
リュウキュウミカンサビダニ,,
リンゴアナアキゾウムシ,,
リンゴコカクモンハマキ,,
リンゴサビダニ,,
リンゴスムシ,,
リンゴハダニ,,
リンゴハナゾウムシ,,
リンゴヒメシンクイ,,
リンゴフユシャク,,
リンゴモンハマキ,,
リンゴワタムシ,,
リンドウホソハマキ,,
ルイスコメツキモドキ,,
ルリチュウレンジハバチ,,
レンコンネモグリセンチュウ,,
ロウムシ類,,
ワサビクダアザミウマ,,
ワサビルリイロサルゾウムシ,,
ワタアブラムシ,,
ワタノメイガ,,
ワタミヒゲナガゾウムシ,,
